338190,glen,2009-05-04 23:55:00,2641,Anyone going out on the opener for lakers and whities?  I am going.  Can someone suggest a good launch on the south shore in the willow beach area?  Thankyou
338191,Reef Runner,2009-05-05 00:02:00,980,"Good luck to you Glen.  I think Mahoney's Marina is in Willow beach.  Nail a pig!  I'll be piking come saturday>-';---,>  1354 Metro Road, North, P.O. Box 167, Willow Beach, Ontario, L0E 1S0  I think it was $10 launch and park."
