574821,Guest,2008-06-09 15:11:00,0,@008 tourney results for dryden
574951,w.d.h.,2008-06-11 19:35:00,1,Here.s the Top 10 1st Sandro Fragale + Darrin Bohonis 30.04lbs 2nd Dale Hayward + Mark Vermette 26.50 lbs 3rd Dean Macdonald + Brenden Macdonald 26.23 4th Larry Meadows + Jared Meadows 23.97 5th Jack Hawkins + Jared Ternowski 23.27 6th Lonnie Lunmark + Darcy Mitani 22.91 7th Michael Cortens + Jane Cortens 22.61 8th Joe Barron + Carissa Lundmark 22.25 9th Dennis Wintle + Travis Wintle 21.60 10th Keith Kellar + Kyle Sachary 21.40
574968,w.d.h.,2008-06-11 19:35:00,1,Here.s the Top 10 1st Sandro Fragale + Darrin Bohonis 30.04lbs 2nd Dale Hayward + Mark Vermette 26.50 lbs 3rd Dean Macdonald + Brenden Macdonald 26.23 4th Larry Meadows + Jared Meadows 23.97 5th Jack Hawkins + Jared Ternowski 23.27 6th Lonnie Lunmark + Darcy Mitani 22.91 7th Michael Cortens + Jane Cortens 22.61 8th Joe Barron + Carissa Lundmark 22.25 9th Dennis Wintle + Travis Wintle 21.60 10th Keith Kellar + Kyle Sachary 21.40
