528705,fisherman,2003-03-16 20:25:00,126,Anybody been there? Heard it's a great place
528706,Guest,2003-03-16 20:27:00,0,I think it's Tetu Island Lodge
528707,Guest,2003-03-19 17:06:00,0,"Never stayed at Tetu Island Lodge,but went past there a few times looks nice enough.Fishing in that area is pretty good. Stayed at Caribou falls lodge did not have to boat in. It seemed like all the boats from Tetu Island lodge came down and fished at Caribou Falls."
