507716,Guest,2000-04-26 20:47:00,0,"someone mentioned good cubans at the end of a long day of angling. poll: what are some of the favorite, knock ya on your butt, smooth smokes that can be obtained in good ol' Canada?thanks for your time and good fishing.griffy"
507717,fishpounder,2000-04-29 14:31:00,7,"Oh no ya don't! We ain't gonna go through this again, are we? I seem to remember an incident with chewing tobacco being strewn down the left side of a mid 80's Bronco II. This was at interstate speeds by a person with a GREEN tinge to him. Are you gonna pack enny Dinty Moore stew for Canada?Cross their eyes!Fishpounder~<'{{{{{><|"
