512402,Darrll T. Milender,2001-05-10 16:42:00,9,"Looking for any information on Lake Nipagon Ont. Lodging, fishing , and where I might get info."
512403,Guest,2001-05-12 06:54:00,0,"Hi,Contact Dan via email. Here's the link to his web page. http://www.geocities.com/Colosseum/S...939/index.htmlRoger Mayer."
512404,Guest,2001-05-12 06:56:00,0,"Hi,Contact Dan via email. Here's the link to his web page. Just take out the spaces.www. geocities.com/ Colosseum/ Stadium/ 7939/ index.htmlRoger Mayer."
