318075,cambo,2009-03-16 18:15:00,62,Does anyone know where i could find a free depth chart for quinte online? Cheers
318490,legacey,2009-03-17 16:51:00,127,"Here's one...hope this works for you.  http://www.garmin.com/cgi-bin/mapgen/webma...&smap.y=174  Cheers,  Paul"
318492,legacey,2009-03-17 16:53:00,127,"Not looking good I guess from what I posted...sorry about that.  Check out the Garmin.com site and you should be able to find it there.  Again, sorry for the bad link.  Cheers"
