527213,chuck c c,2003-02-03 11:14:00,34,"Anyone have any experience at this camp in Spanish, Ontario ?Thanks"
527214,Guest,2003-02-03 12:48:00,0,"If you are looking for another NICE place on the Spanish, Check out the Blue Heron Resort, Wayne is working with our trip now for this year. GOOD RATES, With or with out MEALS. www.ontarionorth.net/blueheron/John"
527215,Guest,2003-02-03 15:25:00,0,"jlware,you say that they are working with your trip for this year...is there more than dates and deposits?i'm not being smart a$$.i'm just trying to learn so when i get my choices narrowed down,that i make the right choice...thanks."
